,0
Embassy of Canada,0.8270222222222222
Deutsche Gesellschaft Technische Zusammenarbeit,0.7784352399737015
Embassy of Sweden,0.5591112184518778
European Commission,0.8268316459969272
Global Environmental Facility,0.5
Embassy of Germany,0.33673469387755106
Ministry of Finance,0.7202216066481995
Embassy of Netherlands,0.8846153846153846
Poland Ministry of Foreign Affairs,0.0
KfW Bankengruppe,0.31999999999999984
World Bank,0.7745365145590856
African Development Fund,0.5816326530612246
Department for International Development,0.8105656478277585
UNDP,0.654296875
USAID,0.747729471614494
Embassy of Japan,0.650887573964497
Korea International Cooperation Agency,0.42603550295857995
Embassy of Belgium,0.8509306219515155
European Investment Bank,0.5
